product_id,category,sub_category,veces_solicitado,unidades_totales_vendidas,ingresos_totales
FUR-ADV-10000002,Furniture,Furnishings,2,3,159.0
FUR-ADV-10000108,Furniture,Furnishings,3,7,350.0
FUR-ADV-10000183,Furniture,Furnishings,8,31,975.0
FUR-ADV-10000188,Furniture,Furnishings,5,7,125.0
FUR-ADV-10000190,Furniture,Furnishings,1,2,222.0
FUR-ADV-10000571,Furniture,Furnishings,8,20,2195.0
FUR-ADV-10000600,Furniture,Furnishings,2,4,206.0
FUR-ADV-10000847,Furniture,Furnishings,5,11,290.0
FUR-ADV-10001283,Furniture,Furnishings,2,3,178.0
FUR-ADV-10001440,Furniture,Furnishings,7,22,959.0
FUR-ADV-10001659,Furniture,Furnishings,6,10,146.0
FUR-ADV-10001855,Furniture,Furnishings,4,4,89.0
FUR-ADV-10002329,Furniture,Furnishings,1,1,7.0
FUR-ADV-10002601,Furniture,Furnishings,5,11,497.0
FUR-ADV-10002632,Furniture,Furnishings,1,2,36.0
FUR-ADV-10002889,Furniture,Furnishings,7,19,803.0
FUR-ADV-10003147,Furniture,Furnishings,5,8,186.0
FUR-ADV-10003326,Furniture,Furnishings,4,4,54.0
FUR-ADV-10004159,Furniture,Furnishings,3,5,195.0
FUR-ADV-10004223,Furniture,Furnishings,2,2,66.0
FUR-ADV-10004395,Furniture,Furnishings,10,29,614.0
FUR-ADV-10004499,Furniture,Furnishings,3,5,250.0
FUR-ADV-10004718,Furniture,Furnishings,5,9,124.0
FUR-ADV-10004971,Furniture,Furnishings,2,9,393.0
FUR-BAR-10000560,Furniture,Tables,1,2,1.003
FUR-BAR-10000831,Furniture,Tables,1,1,320.0
FUR-BAR-10000946,Furniture,Tables,2,7,482.88
FUR-BAR-10001039,Furniture,Tables,2,2,212.0
FUR-BAR-10002449,Furniture,Tables,3,23,327.051
FUR-BAR-10002710,Furniture,Tables,1,4,364.0
FUR-BAR-10003465,Furniture,Tables,2,2,286.0
FUR-BAR-10003532,Furniture,Tables,2,9,907.171
FUR-BAR-10003576,Furniture,Tables,2,2,636.0
FUR-BAR-10004434,Furniture,Tables,1,4,2.058
