product_id,veces_solicitado,unidades_totales_vendidas,ingresos_totales,cat_Furniture,cat_Office Supplies,cat_Technology,subcat_Accessories,subcat_Appliances,subcat_Art,subcat_Binders,subcat_Bookcases,subcat_Chairs,subcat_Copiers,subcat_Envelopes,subcat_Fasteners,subcat_Furnishings,subcat_Labels,subcat_Machines,subcat_Paper,subcat_Phones,subcat_Storage,subcat_Supplies,subcat_Tables
FUR-ADV-10000002,2,3,159.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10000108,3,7,350.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10000183,8,31,975.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10000188,5,7,125.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10000190,1,2,222.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10000571,8,20,2195.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10000600,2,4,206.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10000847,5,11,290.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10001283,2,3,178.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10001440,7,22,959.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10001659,6,10,146.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10001855,4,4,89.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10002329,1,1,7.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10002601,5,11,497.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10002632,1,2,36.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10002889,7,19,803.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10003147,5,8,186.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10003326,4,4,54.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10004159,3,5,195.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10004223,2,2,66.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10004395,10,29,614.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10004499,3,5,250.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10004718,5,9,124.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-ADV-10004971,2,9,393.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FUR-BAR-10000560,1,2,1.003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
FUR-BAR-10000831,1,1,320.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
FUR-BAR-10000946,2,7,482.88,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
