product_code,popularidad_global,ventas_acumuladas,clientes_distintos,unidades_acumuladas
FUR-ADV-10000002,2,159.0,2,3
FUR-ADV-10000108,3,350.0,3,7
FUR-ADV-10000183,8,975.0,8,31
FUR-ADV-10000188,5,125.0,5,7
FUR-ADV-10000190,1,222.0,1,2
FUR-ADV-10000571,8,2195.0,8,20
FUR-ADV-10000600,2,206.0,2,4
FUR-ADV-10000847,5,290.0,5,11
FUR-ADV-10001283,2,178.0,2,3
FUR-ADV-10001440,7,959.0,7,22
FUR-ADV-10001659,6,146.0,6,10
FUR-ADV-10001855,4,89.0,4,4
FUR-ADV-10002329,1,7.0,1,1
FUR-ADV-10002601,5,497.0,5,11
FUR-ADV-10002632,1,36.0,1,2
FUR-ADV-10002889,7,803.0,7,19
FUR-ADV-10003147,5,186.0,5,8
FUR-ADV-10003326,4,54.0,4,4
FUR-ADV-10004159,3,195.0,3,5
FUR-ADV-10004223,2,66.0,2,2
FUR-ADV-10004395,10,614.0,10,29
FUR-ADV-10004499,3,250.0,3,5
FUR-ADV-10004718,5,124.0,5,9
FUR-ADV-10004971,2,393.0,2,9
FUR-BAR-10000560,1,1.003,1,2
FUR-BAR-10000831,1,320.0,1,1
FUR-BAR-10000946,2,482.88,2,7
FUR-BAR-10001039,2,212.0,2,2
FUR-BAR-10002449,3,327.051,3,23
FUR-BAR-10002710,1,364.0,1,4
FUR-BAR-10003465,2,286.0,2,2
FUR-BAR-10003532,2,907.171,2,9
FUR-BAR-10003576,2,636.0,2,2
FUR-BAR-10004434,1,2.058,1,4
FUR-BAR-10004553,3,568.0,3,3
FUR-BAR-10004561,1,518.0,1,1
FUR-BAR-10004682,1,2.012,1,4
FUR-BEV-10000326,1,531.0,1,1
FUR-BEV-10000388,1,316.0,1,1
FUR-BEV-10001048,1,924.0,1,1
FUR-BEV-10001217,1,1.07,1,2
FUR-BEV-10001853,1,984.0,1,2
FUR-BEV-10002193,1,1.249,1,6
FUR-BEV-10002369,2,942.0,2,7
FUR-BEV-10002803,1,925.0,1,1
FUR-BEV-10003414,2,694.0,2,2
FUR-BEV-10004805,1,1.843,1,2
FUR-BEV-10004919,2,536.134,2,5
FUR-BO-10000002,4,1124.3220000000001,4,11
FUR-BO-10000008,1,465.0,1,2
FUR-BO-10000021,1,243.0,1,2
FUR-BO-10000022,3,2201.0,3,14
FUR-BO-10000034,3,1451.0,3,5
FUR-BO-10000035,5,774.541,5,21
FUR-BO-10000038,4,2633.0,4,18
FUR-BO-10000071,8,3046.0,8,22
FUR-BO-10000087,10,3168.066,10,34
FUR-BO-10000112,6,2394.0,6,24
FUR-BO-10000120,2,74.189,2,10
FUR-BO-10000148,4,818.0,4,11
FUR-BO-10000155,4,1799.0,4,20
FUR-BO-10000160,1,704.0,1,2
FUR-BO-10000170,2,4.943,2,14
FUR-BO-10000175,5,1933.0,5,17
FUR-BO-10000184,1,158.0,1,3
FUR-BO-10000195,3,1179.0,3,12
FUR-BO-10000203,6,2891.987,6,19
FUR-BO-10000208,5,2163.7290000000003,5,33
FUR-BO-10000210,8,2121.682,8,26
FUR-BO-10000214,1,292.0,1,3
FUR-BO-10000243,4,894.8,4,28
FUR-BO-10000259,6,1757.914,6,21
FUR-BO-10000265,5,1330.036,4,14
FUR-BO-10000268,4,1505.0,4,11
FUR-BO-10000269,5,893.0,5,13
FUR-BO-10000279,5,376.851,5,20
FUR-BO-10000288,5,796.5790000000001,5,20
FUR-BO-10000311,2,1236.0,2,7
FUR-BO-10000321,2,894.0,2,10
FUR-BO-10000330,3,1064.0,3,10
FUR-BO-10000362,5,1130.026,5,14
FUR-BO-10000378,4,1288.0,4,15
FUR-BO-10000402,2,834.0,2,6
FUR-BO-10000411,4,1786.035,4,24
FUR-BO-10000425,2,960.0,2,8
FUR-BO-10000468,6,724.0,6,21
FUR-BO-10000490,4,7.785,4,23
FUR-BO-10000502,6,1349.093,6,20
FUR-BO-10000514,3,1313.275,3,11
FUR-BO-10000517,1,260.0,1,8
FUR-BO-10000533,1,494.0,1,4
FUR-BO-10000567,8,2451.197,8,43
FUR-BO-10000596,6,1542.499,6,24
FUR-BO-10000610,4,1377.0,4,13
FUR-BO-10000616,1,444.0,1,6
FUR-BO-10000623,1,311.0,1,2
FUR-BO-10000624,7,3269.034,7,26
FUR-BO-10000636,5,1688.0,5,18
FUR-BO-10000655,1,1.109,1,3
FUR-BO-10000666,2,291.015,2,9
FUR-BO-10000668,4,1340.039,4,10
FUR-BO-10000670,5,3063.0,5,30
FUR-BO-10000676,3,1361.0,3,16
FUR-BO-10000684,5,1048.061,5,16
FUR-BO-10000699,6,2467.333,6,24
FUR-BO-10000700,1,233.0,1,2
FUR-BO-10000711,2,852.0,2,12
FUR-BO-10000712,1,251.0,1,2
FUR-BO-10000728,13,4476.911,13,56
FUR-BO-10000734,7,1255.0,7,20
FUR-BO-10000746,5,1323.0,5,17
FUR-BO-10000780,5,2947.0,5,22
FUR-BO-10000786,4,2268.0370000000003,4,23
FUR-BO-10000791,1,483.0,1,5
FUR-BO-10000797,3,1072.0,3,7
FUR-BO-10000807,1,473.0,1,4
FUR-BO-10000820,1,598.0,1,4
FUR-BO-10000847,5,2007.0,5,19
FUR-BO-10000883,2,950.0,2,8
FUR-BO-10000889,1,206.0,1,2
FUR-BO-10000891,4,2148.322,4,18
FUR-BO-10000892,1,759.0,1,6
FUR-BO-10000895,5,1976.0,5,16
FUR-BO-10000936,4,1867.0,4,11
FUR-BO-10000961,5,2198.0,5,21
FUR-BO-10000967,5,1827.5230000000001,5,22
FUR-BO-10000980,7,2377.915,7,15
FUR-BO-10001003,2,1556.0,2,11
FUR-BO-10001010,4,2267.0,4,20
FUR-BO-10001039,6,3043.546,6,19
FUR-BO-10001042,7,1960.0,7,25
FUR-BO-10001067,5,1033.0,5,16
FUR-BO-10001073,4,1431.82,4,18
FUR-BO-10001099,4,976.0,4,15
FUR-BO-10001133,5,2159.143,5,16
FUR-BO-10001147,6,2785.0,6,19
FUR-BO-10001155,9,2900.0,9,24
FUR-BO-10001165,4,1322.128,4,14
FUR-BO-10001192,7,3156.422,7,18
FUR-BO-10001196,4,1425.364,4,17
FUR-BO-10001201,6,1811.0,6,25
FUR-BO-10001212,7,3006.187,7,24
FUR-BO-10001216,5,2128.3540000000003,5,24
FUR-BO-10001233,2,754.0,2,9
FUR-BO-10001254,1,288.0,1,2
FUR-BO-10001255,4,2271.635,4,16
FUR-BO-10001256,2,821.0,2,7
FUR-BO-10001271,1,350.0,1,3
FUR-BO-10001276,2,318.0,2,6
FUR-BO-10001287,6,2245.0,6,14
FUR-BO-10001295,3,1233.0,3,11
FUR-BO-10001309,2,1236.0,2,3
FUR-BO-10001318,1,418.0,1,4
FUR-BO-10001324,3,1411.567,3,16
FUR-BO-10001326,4,1447.0,4,10
FUR-BO-10001337,10,2970.0,10,28
FUR-BO-10001342,6,2346.0,6,17
FUR-BO-10001356,9,5124.22,9,28
FUR-BO-10001358,3,688.0,3,10
FUR-BO-10001362,2,1315.0,2,4
FUR-BO-10001369,4,666.0,4,7
FUR-BO-10001370,2,1140.0,2,3
FUR-BO-10001372,4,9.099,4,21
FUR-BO-10001385,4,2053.0,4,18
FUR-BO-10001387,4,1181.239,4,17
FUR-BO-10001390,4,1097.0,4,12
FUR-BO-10001392,4,1572.485,4,10
FUR-BO-10001393,6,2738.108,6,25
